CHROMATOGRAM,Lactoferrin_M9,CHROMATOGRAM,IgY_M9-1,CHROMATOGRAM,IgY_M9-2,CHROMATOGRAM,IgY_M9-3
Lactoferrin_M9.raw,,IgY_M9_1.raw,,IgY_M9_2.raw,,IgY_M9_3.raw,
Data points: 929,,Data points: 922,,Data points: 921,,Data points: 923,
Time,--,Time,--,Time,--,0.021072,0.004774311
25.25407,0.024070742,25.245923,0.938873424,25.251853,0.68325076,22.646675,0.010458016
25.357135,0.4981237,25.349258,0.954974125,25.355255,0.628251479,22.738957,0.001136741
25.440102,4.730191156,25.452843,0.677061108,25.458843,0.912224322,22.831233,0.001818785
25.518233,25.45144827,25.556,5.047025774,25.56233,1.07176687,22.923627,0.006593097
25.595478,51.74964688,25.651763,21.26326735,25.665722,0.990532585,23.015915,0.00250083
25.672717,47.96184702,25.736673,47.11930747,25.769295,3.488660428,23.108415,0.001591437
25.74984,24.87917803,25.819923,42.73345536,25.872662,3.983356394,23.200805,0.009775971
25.827253,7.956553823,25.902277,19.73071525,25.97567,2.074350696,23.293192,0.003410222
25.9055,1.869713262,25.99698,5.935891063,26.078622,1.009130178,23.385333,0.003410222
25.987798,0.560886819,26.097533,1.571385707,26.181985,0.743209399,23.477862,0.002955526
26.080195,0.344656436,26.20032,1.158312109,26.285455,0.90845521,23.570172,0.00863923
26.172148,0.279823755,26.303788,0.945420332,26.388838,0.681267017,23.662557,0.003182874
26.267352,0.281119923,26.407108,1.079024157,26.492183,1.178641037,23.754848,0.008411882
26.363208,0.262146079,26.51066,0.883981765,26.59574,0.888964932,23.8472,0.001364089
26.4626,0.243554241,26.614132,0.949664092,26.699088,0.764534639,23.939493,0.014095586
26.561713,0.230571034,26.717453,0.701691981,26.802665,0.86982181,24.032012,0.006820445
26.659745,0.218293873,26.820973,0.740227035,26.906195,0.899429178,24.124397,0.002046133
26.757263,0.202733235,26.924468,0.696531227,27.009555,0.812243663,24.216682,0.001818785
26.856813,0.19922232,27.02775,0.697000386,27.113145,0.725454897,24.309202,0.002046133
26.954625,0.22372475,27.131183,0.807999254,27.216502,0.700608513,24.401605,0.009548623
27.052815,0.211834563,27.234428,0.80008752,27.319843,0.579600177,24.493887,0.003182874
27.152818,0.212120515,27.337873,0.802070785,27.42322,0.833965651,24.586267,9.09E-04
27.25305,0.21808907,27.441365,1.040233198,27.52657,0.726297988,24.678797,0.001136741
27.351292,0.21967395,27.544703,0.917441366,27.630025,0.6002807,24.771058,0.005456356
27.449723,0.20560269,27.648167,0.690943964,27.733503,1.061253031,24.863583,0.004319615
27.548382,0.216663175,27.75137,0.762448134,27.836867,0.764633826,24.955977,0.004319615
27.646453,0.198742606,27.854773,0.732613856,27.940468,0.654734451,25.04817,0.007502489
27.74487,0.214351271,27.958243,0.686465623,28.043992,0.704774374,25.140687,0.003637571
27.843083,0.225109795,28.0616,0.743383199,28.14738,0.676258065,25.232967,0.010458016
27.94227,0.215701538,28.165075,0.711373727,28.250953,0.874434013,25.325245,0.006365749
28.039587,0.208703998,28.268437,0.793114104,28.354313,0.959239036,25.41776,0.015459675
28.136873,0.216579818,28.37185,0.75980378,28.457903,0.731207752,25.510033,0.014322934
28.236913,0.232023426,28.475188,0.641085106,28.561505,0.826576208,25.602323,0.005911052
28.33532,0.223714814,28.578753,0.822074039,28.664847,0.90652106,25.694823,0.017733157
28.434162,0.233963814,28.682122,0.891061808,28.76839,2.85475528,25.787205,0.002728178
28.533682,0.240951417,28.785732,0.995492444,28.871708,23.04286373,25.879628,0.00250083
28.63053,0.250036736,28.889228,2.026235825,28.960915,58.0106527,25.97214,0.005456356
28.726695,0.229272658,28.992712,2.96291273,29.046335,53.43544652,26.064673,0.020916031
28.825767,0.256318292,29.09588,1.886042441,29.135137,19.36406152,26.15696,0.008411882
28.921957,0.254445253,29.19893,0.78776142,29.23612,3.399292796,26.24923,0
29.019515,0.254852651,29.302507,0.926675278,29.339002,1.756902187,26.3416,0
29.11595,0.262355299,29.40587,0.647994546,29.442232,1.339522612,26.433978,0.00250083
29.21487,0.285288306,29.50903,0.586726583,29.545562,1.309072154,26.526253,0.006820445
29.308542,0.269669704,29.612513,0.723742477,29.648932,1.324942099,26.618697,0.00250083
29.403755,0.282169333,29.71587,1.068873252,29.75233,1.295285138,26.710972,0.014550283
29.496392,0.292497273,29.819458,0.940110299,29.855693,1.361442975,26.80315,0.005683704
29.592222,0.293693524,29.922807,0.911896754,29.959037,1.235822435,26.895423,0.001364089
29.686047,0.337456853,30.026387,1.101991646,30.062615,1.506752166,26.987945,0.0061384
29.779175,0.337345343,30.129712,1.037098359,30.166135,1.256403771,27.080338,0.008866578
29.872522,0.35906885,30.233177,0.853465073,30.269507,0.997872435,27.17261,0.014550283
29.967383,0.367778237,30.336363,0.921045364,30.373012,1.34185351,27.265122,0.004319615
30.059948,0.39497568,30.440072,0.924990569,30.47636,1.275100551,27.35743,0.003864919
